util_linhas_inseguras,idade,vezes_passou_de_30_59_dias,razao_debito,salario_mensal,numero_linhas_crdto_aberto,numero_vezes_passou_90_dias,numero_emprestimos_imobiliarios,numero_de_vezes_que_passou_60_89_dias,numero_de_dependentes,inadimplente
0.025848708,62,0,0.081774844,8180.0,3,0,2,0,0.0,0.032767456
0.6670832289999999,55,0,0.153112222,2200.0,3,0,0,0,0.0,0.20752178
0.007092527,44,0,0.1488,7499.0,20,0,1,0,0.0,0.052862655
0.091212944,54,0,0.35163531600000003,5900.0,15,0,1,1,0.0,0.39103076
0.112679702,54,0,0.06595941,2167.0,3,0,0,0,0.0,0.06309526
0.323985404,42,0,0.352150538,10415.0,8,0,2,0,2.0,0.13664809
0.0072998540000000015,63,0,0.002288853,4368.0,2,0,0,0,0.0,0.030957703
0.0,76,1,0.261610817,1700.0,4,0,0,0,0.0,0.24295263
0.062279783,55,0,0.406667092,15658.0,14,1,3,0,0.0,0.462281
0.479899327,41,1,0.209902867,8441.0,6,0,3,0,0.0,0.29601172
0.040262851,49,0,11.41791045,200.0,7,0,2,0,0.0,0.045289688
0.843405402,56,1,0.592719888,6400.0,5,0,2,0,1.0,0.47926402
0.012197533,77,0,859.0,,17,0,1,0,0.0,0.061321482
0.001346024,66,0,0.0,2150.0,2,0,0,0,1.0,0.041015405
0.964023984,41,0,0.059348837,10749.0,9,1,0,0,0.0,0.7685261
0.594159456,64,1,1.648362507,7083.0,19,0,5,0,0.0,0.69784033
0.193098651,69,0,0.402775101,5188.0,7,0,2,0,0.0,0.05514336
0.142581923,79,0,0.082849252,10500.0,22,0,0,0,0.0,0.14343321
0.8155511120000001,49,1,4081.0,,5,3,2,1,,0.88367915
0.021974732,73,0,0.278103492,3922.0,8,0,1,0,0.0,0.041366603
0.069206769,51,0,2610.0,,8,0,3,0,0.0,0.06472378
0.679730033,42,0,1546.0,,13,0,0,0,0.0,0.31951526
0.03195895,65,0,0.00939812,5000.0,5,0,0,0,2.0,0.03548652
0.115360102,75,0,1477.0,0.0,6,0,1,0,0.0,0.032800578
0.9999999,41,0,1365.0,,2,5,1,0,0.0,0.83520436
0.463463272,53,0,0.407847082,9939.0,12,0,1,0,0.0,0.21298793
0.385941521,59,0,0.238935821,7930.0,5,0,1,0,2.0,0.086903475
0.210206778,55,0,0.302714363,5562.0,11,0,1,0,0.0,0.06981226
0.025593285,45,0,0.335381522,8950.0,10,0,1,0,2.0,0.10561249
0.031275265,52,0,0.3854166670000001,2975.0,9,0,1,0,0.0,0.06783042
0.021943625,76,0,0.043182727,2500.0,15,0,1,0,0.0,0.06606115
0.017425167,56,0,0.8931593790000001,2835.0,11,0,2,0,0.0,0.090239726
0.001496395,43,4,0.492458005,5833.0,8,1,1,3,0.0,0.8999355
0.525306395,36,0,0.127467105,4863.0,6,0,0,0,3.0,0.26013225
0.186146156,31,0,0.532410244,8160.0,7,0,2,0,0.0,0.1303276
0.196758683,74,0,2835.0,,8,0,3,0,0.0,0.06001902
0.022846024,67,0,0.075768614,6862.0,7,0,1,0,0.0,0.027753092
0.457100576,63,0,4945.0,,9,0,1,0,0.0,0.11522123
0.0,62,0,1565.0,,4,0,1,0,0.0,0.033336937
0.107923781,46,0,0.343041203,7450.0,14,0,2,0,1.0,0.11506487
0.188842147,57,0,1243.0,,6,0,1,0,0.0,0.050594702
0.071393361,72,0,1221.0,,8,0,1,0,0.0,0.030864406
0.009057006,69,0,6.0,,4,0,0,0,0.0,0.020526085
0.190081662,67,0,0.075886843,4453.0,8,0,0,0,0.0,0.075112395
0.713313484,50,0,2104.0,,4,0,1,0,0.0,0.20456558
0.026774331,49,0,0.128515425,5866.0,3,0,1,0,0.0,0.048079193
0.18851756600000005,62,3,0.817720351,6500.0,16,0,3,2,0.0,0.8140828
0.9999999,34,1,0.091191174,5800.0,4,0,0,0,4.0,0.5714007
0.0,59,1,0.223186265,5416.0,6,0,1,0,1.0,0.16361187
0.165751474,46,0,0.109831235,3732.0,4,0,0,0,0.0,0.08942517
0.016674508,55,0,1.403544649,4400.0,19,0,2,0,0.0,0.16644874
0.44596953,54,0,1634.0,,11,0,1,0,0.0,0.15534277
0.026803597,73,0,56.0,,11,0,0,0,0.0,0.037046418
0.022933674,49,0,0.30052803100000003,8900.0,8,0,2,0,0.0,0.042641282
0.054887623,53,0,0.142308615,4166.0,16,0,0,0,0.0,0.10742378
0.000113819,83,0,0.17657082,4694.0,8,0,1,0,0.0,0.023744348
0.093429188,34,0,2.527472527,1000.0,8,0,2,0,0.0,0.071721904
0.079321709,65,0,0.022127433,3750.0,3,0,0,0,0.0,0.047299314
0.040244363,72,2,0.27441622600000004,5866.0,17,0,2,0,1.0,0.24276333
0.009140716,79,0,0.027105088,4500.0,11,0,0,0,0.0,0.05334817
0.010217705,84,0,0.003331113,3001.0,5,0,0,0,1.0,0.05100782
0.6865150259999999,71,0,0.309281786,6000.0,11,0,0,0,1.0,0.24509645
0.066789741,56,0,0.037913507,12000.0,4,0,1,0,1.0,0.0340513
0.9999999,41,0,0.0,,0,0,0,0,0.0,0.5025984
0.626981331,45,2,5338.0,,7,0,1,0,0.0,0.51038384
0.014022028999999998,65,0,1795.0,,9,0,1,0,,0.04139401
0.011713951,54,0,0.181363699,7200.0,6,0,0,0,0.0,0.04396587
0.9999999,57,0,0.0,,0,0,0,0,,0.5968823
0.182710086,50,0,0.028994201,5000.0,15,0,0,0,0.0,0.20272204
0.022794657000000003,49,0,0.879109226,6600.0,15,0,5,0,2.0,0.3293908
0.058241061,88,0,36.0,,3,0,0,0,,0.050145816
0.20024279600000006,79,0,0.25620028100000003,4273.0,6,0,0,0,0.0,0.053826943
0.9999999,48,0,0.539697354,15000.0,12,0,5,0,0.0,0.42166433
0.179847652,37,0,0.029359859,6232.0,3,0,0,0,0.0,0.09994175
0.06181292,59,1,0.528624767,3213.0,17,0,1,0,0.0,0.19120349
0.719017413,55,0,0.244023083,10916.0,9,0,2,0,1.0,0.23402654
0.952488964,47,0,0.34040640200000005,5560.0,10,0,0,0,3.0,0.4251196
1.005712654,23,1,1092.0,,7,0,0,0,0.0,0.78230166
0.014271373,56,0,0.404897245,6860.0,6,0,1,0,2.0,0.050853256
0.59045152,54,1,1267.0,0.0,7,0,1,0,1.0,0.35851595
0.19381766,37,2,0.195315252,5677.0,8,0,1,0,0.0,0.2861029
0.05168249,69,0,0.007358953,3668.0,5,0,0,0,0.0,0.037585784
0.003363534,52,0,0.000586396,5115.0,4,0,0,0,0.0,0.040605035
0.006739541,76,0,0.148370326,5000.0,6,0,1,0,0.0,0.020491425
0.851882962,46,1,0.378373889,12040.0,13,0,2,0,1.0,0.4608448
0.242150295,76,0,0.830939227,2714.0,21,0,1,0,0.0,0.17784888
0.024576473,70,0,0.19477403,7500.0,12,0,1,0,2.0,0.04222696
0.9999999,67,0,2247.0,,4,0,1,0,0.0,0.13178658
0.296724621,56,0,0.384670487,5583.0,13,0,2,0,1.0,0.11226832
0.028210996,37,0,44.0,,3,0,0,0,0.0,0.03913982
0.205034718,51,0,0.407417507,11000.0,8,0,3,0,1.0,0.112897545
0.244197674,43,0,2.350824588,1333.0,4,0,1,0,2.0,0.10853525
0.5994079920000001,63,8,0.427367519,7000.0,13,6,2,3,0.0,0.9317758
0.005627802,79,0,0.232602845,2600.0,15,0,0,0,0.0,0.057059925
0.60369641,43,1,0.408397901,4000.0,5,0,1,0,3.0,0.39573407
0.043186305,45,0,0.17134286199999998,5666.0,8,0,1,0,3.0,0.05066386
0.8783723109999999,38,0,0.27726876100000003,4583.0,9,0,0,0,1.0,0.44659963
0.058941059,28,0,0.080894383,5500.0,4,0,0,0,0.0,0.055171143
0.8732506999999999,44,0,0.021000763,51140.0,7,2,1,0,3.0,0.7550415
0.417290176,48,1,20.55896069,1500.0,23,0,8,0,2.0,0.7676275
0.592819985,43,0,0.20584706,9166.0,7,0,1,0,2.0,0.17465769
0.066286816,58,0,1207.0,,8,0,0,0,0.0,0.03834852
0.000449978,80,0,0.0,6500.0,5,0,0,0,0.0,0.017176008
0.03552937,25,0,0.0009998,5000.0,2,0,0,0,0.0,0.048475444
0.9999999,40,0,424.0,,3,0,0,0,,0.35289156
0.8591140890000001,52,0,0.160946351,3000.0,2,0,0,0,0.0,0.34349078
0.113051593,27,0,0.131024634,2800.0,9,0,0,0,0.0,0.15591082
0.6413762679999999,28,1,0.160811197,3500.0,5,1,0,0,0.0,0.81966853
0.6356961,59,0,0.252866478,8110.0,9,0,1,0,0.0,0.14128451
0.183095507,45,0,0.79128727,5600.0,11,0,2,0,1.0,0.18849707
0.347330534,23,0,0.094502499,2200.0,3,0,0,0,0.0,0.19095674
0.520300666,62,0,2578.0,,19,0,1,0,0.0,0.21850279
0.529129824,64,1,0.713090909,2749.0,10,0,0,0,0.0,0.52178997
0.0,45,0,0.0,5200.0,1,0,0,0,2.0,0.102013156
0.002777623,90,0,0.076510446,7083.0,9,0,0,0,0.0,0.055839695
0.0,43,0,0.0,2300.0,8,0,0,0,1.0,0.058578037
0.091717813,64,0,739.0,,4,0,0,0,0.0,0.027365103
0.0,43,0,0.197057278,5708.0,3,0,1,0,2.0,0.07628672
0.012008,51,0,0.0031956,13455.0,10,0,0,0,1.0,0.10447656
0.0,63,0,14.0,,5,0,0,0,,0.07265535
1.0499002,26,0,0.073219505,6500.0,6,0,0,1,0.0,0.8053248
0.5665775670000001,37,1,0.302608294,12996.0,9,0,1,0,4.0,0.3711583
0.32743763,83,0,0.382808596,2000.0,10,0,0,0,0.0,0.20255645
0.040339651,63,1,1704.0,,9,0,2,0,0.0,0.14178403
0.011770756,89,0,0.001470156,3400.0,4,0,0,0,0.0,0.024552826
0.035565408,50,0,0.497233518,15000.0,9,0,4,0,2.0,0.087176
0.970388412,40,0,0.391001607,5600.0,5,0,1,0,1.0,0.35237032
0.015805942,50,0,0.149314482,4667.0,5,0,1,0,2.0,0.043732353
0.193265993,49,0,0.11572107,4000.0,5,0,1,0,2.0,0.06641481
